VAL;ST;Len;Type;Min;Max;Description
VAL;DYS;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia (imbalance of lipids such as cholesterol, low-density lipoprotein cholesterol, (ldl-c), triglycerides, and high-density lipoprotein (hdl)).)_no
VAL;DYS;1;C;1;1;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia (imbalance of lipids such as cholesterol, low-density lipoprotein cholesterol, (ldl-c), triglycerides, and high-density lipoprotein (hdl)).)_yes
NAME;DYS;1;C;;;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia (imbalance of lipids such as cholesterol, low-density lipoprotein cholesterol, (ldl-c), triglycerides, and high-density lipoprotein (hdl)).)
VAL;DYSM;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia controlled with medication)_no
VAL;DYSM;1;C;1;1;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia controlled with medication)_yes
NAME;DYSM;1;C;;;do you have any of the following chronic medical conditions?        (choice=dyslipidaemia controlled with medication)
VAL;HYPM;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=hypertension with medication)_no
VAL;HYPM;1;C;1;1;do you have any of the following chronic medical conditions?        (choice=hypertension with medication)_yes
NAME;HYPM;1;C;;;do you have any of the following chronic medical conditions?        (choice=hypertension with medication)
VAL;HYP;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=hypertension)_no
VAL;HYP;1;C;1;1;do you have any of the following chronic medical conditions?        (choice=hypertension)_yes
NAME;HYP;1;C;;;do you have any of the following chronic medical conditions?        (choice=hypertension)
VAL;CHR;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=none that i am aware of)_no
VAL;CHR;1;C;1;1;do you have any of the following chronic medical conditions?        (choice=none that i am aware of)_yes
NAME;CHR;1;C;;;do you have any of the following chronic medical conditions?        (choice=none that i am aware of)
VAL;REN;1;C;0;0;do you have any of the following chronic medical conditions?        (choice=renal disease)_no
NAME;REN;1;C;;;do you have any of the following chronic medical conditions?        (choice=renal disease)
VAL;PREF;1;C;0;0;do you preferentially consume chicken, turkey, or rabbit meat instead of veal, pork, hamburger, or sausage?_no
VAL;PREF;1;C;1;1;do you preferentially consume chicken, turkey, or rabbit meat instead of veal, pork, hamburger, or sausage?_yes
NAME;PREF;1;C;;;do you preferentially consume chicken, turkey, or rabbit meat instead of veal, pork, hamburger, or sausage?
VAL;ACE;1;C;0;0;do you take any current medication? (choice=ace inhibitors)_no
VAL;ACE;1;C;1;1;do you take any current medication? (choice=ace inhibitors)_yes
NAME;ACE;1;C;;;do you take any current medication? (choice=ace inhibitors)
VAL;ANTD;1;C;0;0;do you take any current medication? (choice=antidepressants)_yes
VAL;ANTD;1;C;1;1;do you take any current medication? (choice=antidepressants)_no
VAL;ANTD;1;C;2;2;do you take any current medication? (choice=antidepressants)_yes, aripiprazole
NAME;ANTD;1;C;;;do you take any current medication? (choice=antidepressants)
VAL;ANTMED;1;C;0;0;do you take any current medication? (choice=aspiring or antiplatelet therapy)_no
NAME;ANTMED;1;C;;;do you take any current medication? (choice=aspiring or antiplatelet therapy)
